ID,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11,P12,P13,P14,P15
157,14.25,10.5,21,1.75,20.25,9,7.5,7.625,7.125,9.625,10.25,2.714285714,11.625,7.75,23
158,42,40.125,36.375,38.5,42.625,43.75,42.625,50.25,47,44.625,34.625,35,31.75,37.875,29.125
159,22.5,32.25,23.25,38.375,36.25,33.625,37.375,38.375,31.875,35.75,25.875,25.57142857,19.875,28.625,17.75
160,9.25,10.875,13.5,16,9.375,11.75,8.5,8.5,4.875,16.875,9.75,9.714285714,7.125,8.625,9.25
161,11,6,15.375,15.125,1.625,10.75,5.75,8.75,3.75,14.125,5.625,11.71428571,10.125,8.125,9.125
162,32.25,18.5,25.5,15.5,28.375,11.5,25.875,14.375,30.75,21.25,24.625,10.14285714,6.125,7.375,6.875
163,39.75,38.125,43.625,33.625,35.875,30.625,32,45.75,33.625,36.625,41.5,40.57142857,44.5,23,42.25
164,13.125,12.625,24.625,12.125,12.25,20.125,14.25,13.75,11.375,12.375,18.875,14.85714286,10.75,9.875,20.875
165,40.875,23.375,36,24.75,26,26.125,30,28.125,26.75,25.375,25,28.71428571,21,11.25,22.75
166,30.5,34,26.25,30.25,36.25,27.75,23.75,22.625,30,33.375,30.5,26.57142857,23.125,25,19.125
167,22.75,20,22.125,16.5,23.625,36.75,15.75,25,12.625,20.5,17.625,13.14285714,13.5,20.625,23.25
168,0,1.5,16.5,0.75,9.75,0,2.375,2.125,0,25,20.375,12,7.75,16.125,2.75
169,30.375,30.875,30.375,40.625,30.875,25,23.875,24.5,22.5,27.25,38.25,35.14285714,45.75,31.75,35
170,8.5,9.625,10.375,14.75,13.125,17,11.625,15.875,8.625,17.75,22,12,8.125,11.625,9.5
171,43.625,46.75,37.5,50.5,44.625,50.25,34.625,42,34.875,38.5,44.25,53,56.5,35.125,50.125
172,13.875,6.5,13.375,9,12,11.375,12.375,9.875,7.625,15.625,14.625,20.71428571,21.75,32.375,31.5
173,29.125,35,40.5,39.75,31.5,34.625,45.5,35.875,27.125,29.375,33,33.42857143,34.875,30,31.75
174,20.5,27.25,20.625,21.5,21.75,18.125,20.875,17,25.375,28.625,28.375,23,31.5,30.625,21.25
175,17.625,11,3.875,10.875,6.625,13.125,11.75,10.75,8.5,12.125,9.875,9.428571429,18.625,11.625,10.625
176,32.625,26.875,39.375,32.125,24.375,33.5,27.375,31.375,19.875,26,38.75,43.42857143,29.5,25.5,33.75
177,45.5,46.75,37.375,58.5,46.375,38,56.375,33.875,46.625,59.75,45.75,46.28571429,51.875,48.25,33.625
178,51.25,38.125,35.75,36.625,47,27.125,44.25,34.5,40.5,38.625,48.625,43,64.625,79.625,41
179,16.25,22.25,15.625,22.75,26.625,19.875,28.375,19.75,27.375,26.625,21.625,22.71428571,22.875,20.75,17.25
180,19,14.25,11.75,16.875,20.75,18.25,11.875,20.375,17.375,22.375,15.5,15.71428571,17,11.875,13.625
181,8.25,12.875,8,15.125,13.75,11.625,12.875,11.125,8.75,14.375,7,7.428571429,9.875,10.5,5.5
182,47,47.125,37.125,49,71.875,53.375,59.375,46.625,72.625,63.625,53.25,54.57142857,42.875,49,34.125
183,19.75,15.125,12.375,23.5,27.25,17.125,26.25,25.5,21.625,19.125,23.25,19.28571429,17.375,6.625,11.125
184,28.25,40.625,34,36.625,22.75,48.25,48.875,35.375,31,47.125,33.625,26.85714286,29.125,33.375,25.625
185,54.5,40.5,53,43.875,61.75,46.5,59.25,61.25,74.875,52.75,38,60.42857143,56.25,54.875,39.25
186,20.75,13.25,18.125,8.75,8.75,2.75,14.875,12.5,18.25,13.5,18.25,3.571428571,2.25,5.75,2.625
187,31,29,18.125,34.375,28.375,28.125,30.25,27.375,43,36.375,26.5,28.42857143,25.5,26,20.5
188,12.375,16.75,12.75,17.75,12.625,17.25,18.375,17.75,13.375,13.375,16.625,16.57142857,10.75,11.5,13.25
189,15.875,17.5,15.75,32.875,20,34.375,7,20.25,19.625,15,20.75,32.28571429,21.125,7.625,24.5
191,9.375,10.25,5.375,8.25,6.5,3,10.5,5.625,9.375,13.5,10.875,12.14285714,8.875,13.875,13.75
192,24.375,25.125,14.375,35.25,26.625,26.875,17,31.125,32.625,27.625,33.5,19.71428571,23.5,28.625,19.375
193,12.125,11.625,11.375,8.125,10.75,11.5,11,9.5,9.875,12.625,10.5,7.571428571,8.625,10.125,6.125
194,58.375,55.625,42,45.375,45.75,44.25,40.75,43,45.375,52.125,46,24.85714286,36.375,32,30.75
195,15.375,13.75,18.625,17.25,14.875,26.5,18,22.5,17,18.625,17.125,20.85714286,13.5,10.125,17.875
196,33.25,48.5,60.375,56.625,53,53.5,43.625,47.125,43.625,28.5,48,48.85714286,59.875,40.375,70.375
197,9.75,6.875,12,8.375,10.125,14.5,13.5,10.125,8.375,11,10.75,13.42857143,13.375,11.875,10.625
198,15.25,5,4.125,6.125,4.125,10.75,3.625,5,5.5,10.75,3.5,5.857142857,5.875,4,10.5
201,29.625,30.25,24.25,27.5,34.5,25.625,30.75,33.625,26.625,32.25,33.375,33.57142857,27.375,24.75,32.375
202,41.625,23.875,26.375,30.875,27.75,28.625,31,20.375,27.125,28.625,44.25,31,25.875,24.125,35.375
203,91.375,98.625,95.25,80.5,95.375,103.125,122.875,122.375,91,120.5,90.625,96.28571429,124.75,98.875,106.375
204,11.25,7.125,9.875,5.625,6.25,11.75,18.75,7,9.875,9.375,9.875,12.42857143,12.25,2.25,18
207,15.25,17,19.125,33.375,20.25,17.5,12,10.5,12.625,15.25,26.25,27.71428571,24.125,19.375,26.625
208,37.25,23.5,28.75,15.875,23.375,11,24.625,13.75,26,13,33.375,24.85714286,20.5,29.375,15.5
209,17.875,35.75,24.625,38.5,7.75,39,15.375,30.375,10.5,16.75,25.5,28.14285714,28,23.625,36.5
210,13.875,12.875,8.875,11.375,8.625,11,11.625,11.625,14,12.75,16,19.57142857,17.75,9.75,15.5
211,20.5,16.625,18.25,21.625,21.125,32.875,17.5,27.75,26.625,30.375,20.625,23.28571429,22.875,22.25,18
212,35.875,55.25,71.125,55.25,35.125,65.75,51.5,60.875,39.125,42,39.625,55,54.5,42.625,63.25
213,5.5,6.125,9.125,5.75,7.125,5.5,3.375,5.125,4.25,5.75,6.5,2.714285714,3.375,2,6
214,27.5,15.5,25.625,29.375,19.75,25.125,24.75,23.5,25.875,19.125,18.375,17.42857143,8.375,9.25,10
215,6.125,21,18.25,25.625,17.5,18,19.25,18.75,9.5,18.875,14.125,29.71428571,18.375,15.25,33
216,16.75,7.375,13.875,14.875,17.5,17.75,14.25,14.5,11.875,16.875,12.125,14.42857143,8.125,14.375,10.5
217,19.5,25.375,33.375,27.75,18.125,29.25,26.5,25.625,17.875,25.125,23.75,21.85714286,28.625,18.25,27.125
218,59.375,84.375,48.375,43.5,53.875,18.25,64,74.125,29.625,41,165,134.8571429,142,77.875,146
219,1.625,2.75,4.625,1.375,11.875,2.25,0,2.75,1.75,4.5,3,2.571428571,0,2.125,0
220,34.875,26.75,25.5,27.375,30.25,24.125,26,33.25,34,40.25,42.375,35.57142857,49,34.5,50
221,16.5,14.25,17,17.25,15.5,19.875,8.25,17,12.5,15.125,16.75,16,14.375,13.25,10.75
222,17.125,14.75,8.25,21,15.375,25,21.5,21.25,16.125,26.125,21,14.28571429,14.375,11.875,14.5
223,15,8.125,13.625,8,20.125,14.875,13.5,15.125,14.125,21.875,19.875,11.14285714,8.25,20.125,13.875
224,6.375,6.625,8.625,7.375,6.375,14.625,7.125,6.875,2.625,7.5,6.75,4.857142857,6.375,2.5,7.5
225,26.5,21.625,19.125,25.375,23.875,15.5,21.25,14.125,23.125,16.375,25.5,21.28571429,24.625,15.875,20.5
226,7.625,10.125,4,3.375,9.375,6.375,3.5,4.5,7.875,15.875,4.75,0.428571429,4.125,7.75,2
227,25.375,40.5,50.125,46.125,33.5,33.5,35.5,34.75,30.125,28.375,35.875,40.71428571,35,28.875,27.75
228,28.875,34.75,28.75,43.125,37.375,40.375,26.125,44.125,27.125,32.875,26.625,34.71428571,39.5,29.875,32
229,30.25,12.5,29,18.5,21,31.625,24.25,14.125,19.875,12.375,23.875,24.42857143,17.625,13,21.625
230,30.75,40.875,58.5,37,33.5,45.25,46.5,59.75,42.375,65.25,44.625,102.7142857,82.5,92.625,85.375
232,33.625,35.375,26.25,33.625,36.25,37.5,39.375,29.125,37.125,32.625,27.75,49.71428571,53.625,54.375,30.25
234,4.5,7.75,7,7.625,4.375,12.5,5.75,5.625,7.5,13.125,6.625,7.142857143,7.125,6,3.125
235,20.875,31.25,25.25,21.75,19.5,23.125,16.875,27.75,17.25,22.5,16.625,41.28571429,27.75,22.5,19.875
236,3.875,4.75,2.125,3.75,2.25,0.625,1.625,1.375,1.375,6.375,2.875,0,3.5,0,2.75
237,40.375,49.5,34.75,46,44,47.25,55.5,49,61.125,55,43.75,37.14285714,41.75,47.375,34.375
238,27.875,28.75,53.875,22.125,37.5,47.125,32.875,57.25,22.125,34.375,27.5,58,38.125,29.5,46.375
239,11.125,20.125,12.875,27.25,13.875,14,11.5,3.375,11.5,16.125,14.25,21.28571429,19.375,19.875,22.125
240,24.625,16.875,19.625,11.75,19.375,14,15.875,16.25,20.5,18.125,27.125,14.71428571,19.125,10.25,15.5
241,6.875,6.875,9.375,7.625,11.875,9.375,10.125,11.625,11.875,14.25,15.5,6.142857143,10.25,4.125,5.125
242,24.25,29,34.125,27.5,29.375,39.875,27.75,41.75,26.75,30,30.625,32.42857143,35.5,31.25,40
243,3.75,0.875,0,1.5,0.5,1.75,2,1.25,3.5,6.5,0,2,1.125,3,1.625
